iter	Passed	Remaining
0	0	75
1	1	71
2	2	67
3	2	62
4	3	62
5	3	61
6	4	62
7	5	61
8	6	61
9	6	60
10	7	60
11	8	61
12	9	61
13	9	60
14	10	59
15	11	58
16	11	57
17	12	57
18	13	56
19	13	55
20	14	54
21	15	53
22	15	52
23	16	51
24	16	50
25	17	50
26	18	49
27	19	48
28	19	48
29	20	47
30	21	47
31	21	46
32	22	46
33	23	45
34	24	45
35	24	44
36	25	43
37	26	42
38	26	42
39	27	41
40	28	40
41	28	39
42	29	38
43	29	37
44	30	37
45	31	36
46	31	35
47	32	35
48	33	34
49	33	33
50	34	33
51	35	32
52	35	31
53	36	31
54	37	30
55	37	29
56	38	29
57	39	28
58	40	27
59	40	27
60	41	26
61	42	25
62	43	25
63	43	24
64	44	23
65	45	23
66	45	22
67	46	21
68	47	21
69	47	20
70	48	19
71	49	19
72	49	18
73	50	17
74	51	17
75	52	16
76	52	15
77	53	15
78	54	14
79	55	13
80	55	13
81	56	12
82	57	11
83	58	11
84	58	10
85	59	9
86	60	8
87	60	8
88	61	7
89	62	6
90	62	6
91	63	5
92	64	4
93	65	4
94	65	3
95	66	2
96	67	2
97	68	1
98	68	0
99	69	0
